"","X","CITY","STABBR","INSTNM","MAIN","INSTURL","PREDDEG","CONTROL","UGDS","ADM_RATE","SAT_AVG","ACTCMMID","TUITIONFEE_IN","TUITIONFEE_OUT","C150_4","LONGITUDE","LATITUDE"
"1",1,"Normal","AL","Alabama A & M University",1,"www.aamu.edu/",3,1,4206,0.5256,827,17,9096,16596,0.3525,-86.568502,34.783368
"2",2,"Birmingham","AL","University of Alabama at Birmingham",1,"www.uab.edu",3,1,11383,0.8569,1107,24,7510,17062,0.5554,-86.80917,33.50223
"3",3,"Montgomery","AL","Amridge University",1,"www.amridgeuniversity.edu",3,2,291,1,1061.44920634921,23.2588331963846,6900,6900,0.2222,-86.17401,32.362609
"4",4,"Huntsville","AL","University of Alabama in Huntsville",1,"www.uah.edu",3,1,5451,0.8203,1219,27,9158,21232,0.4614,-86.63842,34.722818
"5",5,"Montgomery","AL","Alabama State University",1,"www.alasu.edu",3,1,4811,0.5326,851,18,8720,15656,0.2632,-86.295677,32.364317
"6",6,"Tuscaloosa","AL","The University of Alabama",1,"www.ua.edu/",3,1,29851,0.5105,1185,27,9826,24950,0.6566,-87.545766,33.2144
"7",7,"Alexander City","AL","Central Alabama Community College",1,"www.cacc.edu",2,1,1592,1,1061.44920634921,23.2588331963846,3491,6576,0.510104098765432,-85.94653,32.924429
"8",8,"Athens","AL","Athens State University",1,"www.athens.edu",3,1,2991,1,1061.44920634921,23.2588331963846,5032.29961089494,17349.8388367161,0.510104098765432,-86.96514,34.805625
"9",9,"Montgomery","AL","Auburn University at Montgomery",1,"www.aum.edu",3,1,4304,0.8017,1009,22,9080,19640,0.2194,-86.177351,32.369939
"10",10,"Auburn","AL","Auburn University",1,"www.auburn.edu",3,1,20514,0.8347,1215,27,10200,27384,0.7086,-85.482782,32.604685
"11",11,"Birmingham","AL","Birmingham Southern College",1,"www.bsc.edu/",3,2,1180,0.5339,1181,27,31708,31708,0.6422,-86.853636,33.515453
"12",12,"Phenix City","AL","Chattahoochee Valley Community College",1,"www.cv.edu",2,1,1727,1,1061.44920634921,23.2588331963846,4320,7710,0.510104098765432,-85.031485,32.42391
"13",13,"Selma","AL","Concordia College Alabama",1,"www.ccal.edu/",3,2,322,0.5328,942,21,10320,10320,0.25,-87.023531,32.42443
"14",14,"Enterprise","AL","Enterprise State Community College",1,"www.escc.edu",2,1,1729,1,1061.44920634921,23.2588331963846,3976,7140,0.510104098765432,-85.836956,31.297496
"15",15,"Bay Minette","AL","James H Faulkner State Community College",1,"www.faulknerstate.edu",2,1,4286,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-87.779758,30.852045
"16",16,"Montgomery","AL","Faulkner University",1,"www.faulkner.edu",3,2,2367,1,1061.44920634921,23.2588331963846,18750,18750,0.3073,-86.21641,32.384181
"17",17,"Gadsden","AL","Gadsden State Community College",1,"www.gadsdenstate.edu",2,1,4917,1,1061.44920634921,23.2588331963846,3168,5880,0.510104098765432,-85.991299,33.991866
"18",18,"Dothan","AL","George C Wallace State Community College-Dothan",1,"www.wallace.edu",2,1,4293,1,1061.44920634921,23.2588331963846,3960,7350,0.510104098765432,-85.46355,31.316086
"19",19,"Hanceville","AL","George C Wallace State Community College-Hanceville",1,"www.wallacestate.edu",2,1,4920,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-86.781745,34.07341
"20",20,"Selma","AL","George C Wallace State Community College-Selma",1,"www.wccs.edu",2,1,1513,1,1061.44920634921,23.2588331963846,3960,7350,0.510104098765432,-87.01324,32.445611
"21",21,"Montgomery","AL","Huntingdon College",1,"www.huntingdon.edu",3,2,1149,0.5839,1026,22,24550,24550,0.4506,-86.285313,32.350939
"22",22,"Florence","AL","Heritage Christian University",1,"www.hcu.edu",3,2,62,1,1061.44920634921,23.2588331963846,9792,9792,0.5,-87.662062,34.859089
"23",23,"Huntsville","AL","J F Drake State Community and Technical College",1,"www.drakestate.edu",2,1,974,1,1061.44920634921,23.2588331963846,3384,6096,0.510104098765432,-86.573817,34.772116
"24",24,"Jacksonville","AL","Jacksonville State University",1,"www.jsu.edu/",3,1,7060,0.8326,1041,23,7092,13884,0.3009,-85.766644,33.822128
"25",25,"Brewton","AL","Jefferson Davis Community College",1,"www.jdcc.edu",2,1,1033,1,1061.44920634921,23.2588331963846,3968,7358,0.510104098765432,-87.085829,31.101995
"26",26,"Birmingham","AL","Jefferson State Community College",1,"www.jeffstateonline.com",2,1,7443,1,1061.44920634921,23.2588331963846,4320,7710,0.510104098765432,-86.707387,33.652439
"27",27,"Tanner","AL","John C Calhoun State Community College",1,"www.calhoun.edu",2,1,9380,1,1061.44920634921,23.2588331963846,4260,7650,0.510104098765432,-86.949131,34.65428
"28",28,"Marion","AL","Judson College",1,"www.judson.edu",3,2,376,0.6525,1061.44920634921,23.2588331963846,16258,16258,0.4316,-87.316127,32.630526
"29",29,"Birmingham","AL","Lawson State Community College-Birmingham Campus",1,"www.lawsonstate.edu",2,1,2905,1,1061.44920634921,23.2588331963846,4290,7710,0.510104098765432,-86.890234,33.451673
"30",30,"Livingston","AL","University of West Alabama",1,"www.uwa.edu",3,1,1916,0.7199,990,21,8018,14886,0.329,-88.186077,32.59244
"31",31,"Andalusia","AL","Lurleen B Wallace Community College",1,"www.lbwcc.edu",2,1,1393,1,1061.44920634921,23.2588331963846,4230,7620,0.510104098765432,-86.452262,31.322947
